,pre,Freq,PREF_ID,NUTS_V9,NUTS,ESYE,POP_2011
1,AIT,10974,1,GR231,,24238,210802
2,ARG,5616,11,GR251,,24341,97044
3,ARK,4833,12,GR252,,24340,86685
4,ART,3424,31,GR211,,12219,67877
5,ATT,349399,99_98_97_96,GR300,,351,4277431
10,AXA,34254,13,GR232,,24237,309694
11,BOI,5481,3,GR241,,23228,117920
12,DOD,10176,81,GR421,,46258,190138
13,DRA,6112,52,GR114,,11102,98287
14,EBR,8194,71,GR111,,11103,147947
15,EYB,10657,4,GR242,,23229,210815
16,EYR,685,5,GR243,,23230,20081
17,FLO,3108,63,GR134,,12117,51414
18,FOK,1979,7,GR245,,23231,40343
19,FTH,8905,6,GR244,,23227,158231
20,GRE,1913,51,GR131,,12115,31757
21,HAN,7393,94,GR434,,41174,156585
22,HLE,6694,14,GR233,,24239,159300
23,HMA,8056,53,GR121,,11208,140611
24,HRA,23884,91,GR431,,47171,305490
25,IOA,12936,33,GR213,,12218,167901
26,KAB,7888,55,GR115,,11105,124917
27,KAR,6464,41,GR141,,113544,23123
28,KAS,3125,56,GR132,,12116,50322
29,KEF,2372,23,GR223,,24135,35801
30,KER,5699,22,GR222,,24132,104371
31,KIL,3225,57,GR123,,11209,80419
32,KOR,7381,15,GR253,,24342,145082
33,KOZ,11359,58,GR133,,12114,150196
34,KYK,6277,82,GR422,,462269,190988
35,LAK,3090,16,GR254,,24343,89138
36,LAR,21679,42,GR142,,23122,284325
37,LAS,3594,92,GR432,,47172,75381
38,LES,4164,83,GR411,,461,199231
39,LEY,1341,24,GR224,,24136,23693
40,MAG,12039,43,GR143,,23124,190010
41,MES,6986,17,GR255,,24344,159954
42,PEL,6989,59,GR124,,11210,139680
43,PIE,7201,61,GR125,,11211,126698
44,PRE,3606,34,GR214,,12221,57491
45,RET,4062,93,GR433,,47173,85609
46,ROD,4789,73,GR113,,11101,112039
47,SAM,2135,84,GR412,,46156,32977
48,SER,10061,62,GR126,,11212,176430
49,THP,2352,32,GR212,,12220,43587
50,THS,96476,54,GR122,,11207,1110551
51,TRI,7801,44,GR144,,23126,131085
52,XAL,4058,64,GR127,,11213,107719
53,XAN,4712,72,GR112,,11106,111222
54,XIO,2551,85,GR413,,46157,52674
55,ZAK,2106,21,GR221,,24133,40759
